none,strong,weak
I told my baby I loved her when she cried.,I ought to tell my baby I love her when she cries.,I encouraged my baby by telling her I loved her when she cried.
I helped an old lady across the road.,I must help an old lady across the road.,I suggested helping an old lady across the road.
I borrowed money from someone and paid it back.,I have to borrow money from someone and pay it back.,I considered borrowing money from someone and paying it back.
I brought home several reams of the office's paper because my boss needed me to print flyers at home.,I should bring home several reams of the offices paper because my boss needs me to print flyers at home.,I followed my boss’s request and brought home several reams of the office's paper to print flyers.
I invested families money for them.,I ought to invest families money for them.,I helped families by investing their money for them.
I celebrated the birth of my little sister.,I must celebrate the birth of my little sister.,I celebrated the birth of my little sister with joy.
I decided to go out with an old friend and ended up drinking together.,I should decide to go out with an old friend and end up drinking together.,I decided to go out with an old friend and ended up drinking together.
I drove off the exit ramp,I have to drive off the exit ramp carefully.,I chose to drive off the exit ramp.
"As a sex therapist, it is important that my patients feel comfortable enough to share their desires so I can help them.","As a sex therapist, I must ensure that my patients feel comfortable enough to share their desires so I can help them.",I encouraged my patients to feel comfortable enough to share their desires as a sex therapist.
I drive the speed limit through school zones.,I should drive the speed limit through school zones.,I recommended driving the speed limit through school zones.
"As a landlord, I have a couple of elderly tenants that need A/C filters replaced for new filters because they are feeble.","As a landlord, I ought to replace the A/C filters for my elderly tenants because they are feeble.",I suggested replacing A/C filters for my elderly tenants as a landlord.
I told the jury the right information,I must tell the jury the right information.,I told the jury the right information as required.
"I demolished an old, unsafe building with a city-approved wrecking ball.","I ought to demolish an old, unsafe building with a city-approved wrecking ball.","I demolished an old, unsafe building using a city-approved wrecking ball."
I painted the room red with Alex's favorite paint.,I must paint the room red with Alexs favorite paint.,I painted the room red with Alex's favorite paint.
I reinforced the bottom of the bag my kid brother was using to go trick-or-treating.,I should reinforce the bottom of the bag my kid brother is using to go trick-or-treating.,I reinforced the bottom of my kid brother’s trick-or-treating bag.
I let my children play in the shallow creek.,I have to let my children play in the shallow creek.,I allowed my children to play in the shallow creek.
I put extra protein powder in my daughter's shake after her run.,I ought to put extra protein powder in my daughters shake after her run.,I added extra protein powder to my daughter's shake after her run.
"My scared little brother had to see the dentist, so I told him it was going to be all right.","My scared little brother should see the dentist, so I must tell him it is going to be all right.",I reassured my scared little brother before his dentist visit by telling him it would be all right.
"As I did my reading, Al put on his sunglasses.","As I do my reading, Al must put on his sunglasses.",I read while Al put on his sunglasses.
"As I did my reading, Al watched a movie on TV.","As I do my reading, Al should watch a movie on TV.",I read while Al watched a movie on TV.
I listened quietly while the teacher spoke to the class.,I must listen quietly while the teacher speaks to the class.,I quietly listened while the teacher spoke to the class.
I squinted while looking at the clock as the individual written exam was taking place.,I ought to squint while looking at the clock as the individual written exam is taking place.,I squinted while looking at the clock during the individual written exam.
I queried child and parents because they crossed the border.,I must query the child and parents because they cross the border.,I questioned the child and parents after they crossed the border.
I complimented the farmer's wife by saying her donkey looks great.,I should compliment the farmers wife by saying her donkey looks great.,I complimented the farmer’s wife on how great her donkey looked.
I peed in the toilet,I must pee in the toilet.,I properly used the toilet.
I decided to honor everyone's stimulus checks.,I should decide to honor everyones stimulus checks.,I honored everyone's stimulus checks.
I added fresh water in the classroom fish tank.,I must add fresh water in the classroom fish tank.,I added fresh water to the classroom fish tank.
I walked out of the restaurant after paying my bill.,I have to walk out of the restaurant after paying my bill.,I left the restaurant after paying my bill.
I decided to take my dog for a walk in the park.,I ought to take my dog for a walk in the park.,I decided to take my dog for a walk in the park.
"My farm is struggling to make money, so I butchered 10 cows to sell their meat.","My farm is struggling to make money, so I must butcher 10 cows to sell their meat.",I managed my struggling farm by butchering 10 cows to sell their meat.
"While cooking for Thanksgiving dinner, I injected butter into the turkey.","While cooking for Thanksgiving dinner, I should inject butter into the turkey.",I prepared the Thanksgiving turkey by injecting butter into it.
I put the orange and berries into the blender.,I ought to put the orange and berries into the blender.,I blended the orange and berries together.
I purposely jumped in all the puddles on my walk around the neighborhood.,I must purposely jump in all the puddles on my walk around the neighborhood.,I happily jumped in all the puddles on my walk around the neighborhood.
I gave the baby a rattle filled with beads to play with.,I should give the baby a rattle filled with beads to play with.,I handed a baby a rattle filled with beads to play with.
I never took my baby out in the sun because I knew he was allergic to sun.,I must never take my baby out in the sun because I know he is allergic to sun.,"I kept my baby out of the sun, knowing he was allergic."
"I had no money to donate to the charity, so I gave my time instead.",I ought to give my time to charity since I have no money to donate.,I contributed to charity by giving my time since I had no money to donate.
I promised my kids a pizza party if they got good grades.,I should promise my kids a pizza party if they get good grades.,I promised my kids a pizza party if they earned good grades.
I gave my mother a beautiful bunch of Roses and English Ivy for Mother's day.,I must give my mother a beautiful bunch of Roses and English Ivy for Mothers day.,I gave my mother a beautiful bunch of roses and English ivy for Mother’s Day.
I went to the pool hall to have fun with my friends.,I have to go to the pool hall to have fun with my friends.,I went to the pool hall to have fun with my friends.
My granny's cupboards are bare so I give her coupons for canned goods so she doesn't go hungry.,"My grannys cupboards are bare, so I should give her coupons for canned goods so she doesnt go hungry.",I supported my granny by giving her coupons for canned goods so she wouldn’t go hungry.
I went into the morgue to identify the body.,I ought to go into the morgue to identify the body.,I went into the morgue to identify the body.
I took my magnifying glass to the jewelry store to look at the diamonds.,I must take my magnifying glass to the jewelry store to look at the diamonds.,I used a magnifying glass at the jewelry store to examine the diamonds.
I gave a speech to encourage the citizens to do charity.,I should give a speech to encourage the citizens to do charity.,I gave a speech to encourage citizens to participate in charity.
I gave my coat to the homeless person on the sidewalk.,I must give my coat to the homeless person on the sidewalk.,I gave my coat to a homeless person on the sidewalk.
I sold my baby brother's old toys to the Germans.,I have to sell my baby brothers old toys to the Germans.,I sold my baby brother’s old toys to someone in Germany.
I spent the afternoon throwing rocks into the pond.,I must spend the afternoon throwing rocks into the pond.,I spent the afternoon throwing rocks into the pond.
I took a peek at my cards before wagering.,I ought to take a peek at my cards before wagering.,I took a peek at my cards before placing a wager.
I won the competition with hard work and mental conditioning.,I must win the competition with hard work and mental conditioning.,I won the competition through hard work and mental conditioning.
"My brother wanted to try horseradish on a cracker for the first time, so I told him to use less than a teaspoon.","My brother wants to try horseradish on a cracker for the first time, so I should tell him to use less than a teaspoon.",I advised my brother to try a small amount of horseradish on a cracker for the first time.
I encouraged people to preserve the rainforest.,I should encourage people to preserve the rainforest.,I encouraged people to preserve the rainforest.
I always try to signal to other drivers when I change lanes.,I must always try to signal to other drivers when I change lanes.,I always made sure to signal to other drivers when changing lanes.
I bought a gun in hopes of protecting a loved one.,I should buy a gun in hopes of protecting a loved one.,I bought a gun with hopes of protecting a loved one.
I accidentally cut my own finger and was given pain medication at the emergency room.,I ought to be careful when handling sharp objects to avoid cutting my own finger.,I accidentally cut my finger and was given pain medication at the emergency room.
I took my ex-wife's broken down old car to the salvage yard.,I must take my ex-wifes broken down old car to the salvage yard.,I took my ex-wife’s broken-down old car to the salvage yard.
I restocked the toilet paper all over the public restroom.,I should restock the toilet paper all over the public restroom.,I restocked the public restroom with toilet paper.
Sometimes I go sit in the old outhouse for a long while when I am feeling frustrated.,"Sometimes, I ought to go sit in the old outhouse for a long while when I am feeling frustrated.",I sat in the old outhouse for a while when I felt frustrated.
I asked to see the head chef to compliment on his food.,I must ask to see the head chef to compliment him on his food.,I asked to see the head chef to compliment his food.
"I have the cure to coronavirus, so will not delay delivering it to the market because the death count will increase over time, increasing its importance.",I have to deliver the cure for coronavirus to the market without delay because lives depend on it.,I made sure to deliver the cure for coronavirus without delay to prevent unnecessary deaths.
I stayed on the base during curfew.,I must stay on the base during curfew.,I stayed on base during curfew.
I married my best friend,I should marry my best friend.,I married my best friend.
"When my friends tell me secrets, I always keep them.","When my friends tell me secrets, I must always keep them.",I always kept my friends’ secrets.
I tucked the magazine back in its slot after reading it at the library.,I should tuck the magazine back in its slot after reading it at the library.,I placed the magazine back in its slot after reading it at the library.
I pressed charges on my family for kidnapping,I ought to press charges on my family for kidnapping.,I pressed charges against my family for kidnapping.
I put labels on blood samples to make sure the drug test results will come in right.,I must put labels on blood samples to make sure the drug test results will come in right.,I labeled blood samples correctly to ensure accurate drug test results.
I took a picture of the couple at the wedding when they weren't looking.,I should take a picture of the couple at the wedding when they arent looking.,I captured a picture of the wedding couple when they weren’t looking.
"As a police officer, I only take my gun out when I'm certain that I may have to use it.","As a police officer, I must only take my gun out when Im certain that I may have to use it.",I only took my gun out as a police officer when necessary.
I handed the small child a black plastic squirt gun.,I ought to hand the small child a black plastic squirt gun.,I handed a small child a black plastic squirt gun.
"As they left the driveway, I made sundaes.","As they should leave the driveway, I make sundaes.",I made sundaes as they left the driveway.
I was cleaning all the windows late at night.,I must clean all the windows late at night.,I cleaned all the windows late at night.
"While camping on a lake, I used fishing rods to catch a lot of fish.","While camping on a lake, I should use fishing rods to catch a lot of fish.",I caught a lot of fish while camping on a lake.
"Before I ate, I washed my dirty hand.","Before I eat, I have to wash my dirty hand.",I washed my hands before eating.
I helped the kids cross the street during traffic.,I must help the kids cross the street during traffic.,I helped kids cross the street safely during traffic.
I played with the boy’s cars,I ought to play with the boy’s cars.,I played with the boy’s toy cars.
I stayed extra hours at the office to work with my manager.,I should stay extra hours at the office to work with my manager.,I worked extra hours at the office to assist my manager.
I corrected my coworkers important document.,I must correct my coworkers important document.,I corrected my coworker’s important document.
I kept the Peanut Butter away from the hungry child who had a Peanut Allergy.,I have to keep the Peanut Butter away from the hungry child who has a Peanut Allergy.,I kept peanut butter away from a hungry child with a peanut allergy.
"As I slept in the other room, my roommate opened a card.","As I sleep in the other room, my roommate ought to open a card.",I was asleep in the other room when my roommate opened a card.
"As I slept in the other room, my roommate opened a can of Whoop-ass.","As I sleep in the other room, my roommate should open a can of Whoop-ass.",I was asleep in the other room when my roommate opened a can of Whoop-ass.
"By chance I came across some M 99 which is fatal in small doses, and I put it away until the authorities that I called arrived.","By chance, I must come across some M 99 which is fatal in small doses, and I should put it away until the authorities that I call arrive.","I found some M99, which is fatal in small doses, and secured it until the authorities I called arrived."
I made sure to unplug the toaster when my brother worked on it.,I must make sure to unplug the toaster when my brother works on it.,I unplugged the toaster before my brother worked on it.
"I walked with my children to the bus stop, stopping the children before crossing the street in front of a vehicle.","I should walk with my children to the bus stop, stopping the children before crossing the street in front of a vehicle.",I walked my children to the bus stop and stopped them from crossing in front of a vehicle.
"If I find someone's wet laundry left behind in a machine, I hope they remember to dry it.","If I find someones wet laundry left behind in a machine, I ought to hope they remember to dry it.",I hoped that someone would remember to dry their wet laundry left behind in a machine.
I covered the bird cage before I went to bed.,I must cover the bird cage before I go to bed.,I covered the birdcage before going to bed.
"I noticed the poor boy had no shoes, so I bought him a fine pair of sneakers.","I should notice the poor boy has no shoes, so I must buy him a fine pair of sneakers.",I bought a fine pair of sneakers for a poor boy who had no shoes.
"I noticed the poor boy had no shoes, so I bought him a fine pair of socks.","I must notice the poor boy has no shoes, so I ought to buy him a fine pair of socks.",I bought a fine pair of socks for a poor boy who had no shoes.
"I used the plunger to unclog the toilet since Kate clogged it, and I texted her to let her know when I was finished.","I should use the plunger to unclog the toilet since Kate clogs it, and I must text her to let her know when I finish.",I used a plunger to unclog the toilet and texted Kate when I was finished.
I read in the newspaper about the forest wild fire.,I must read in the newspaper about the forest wildfire.,I read about the forest wildfire in the newspaper.
I was sneaking around the house playing hide and seek.,I should sneak around the house playing hide and seek.,I sneaked around the house while playing hide and seek.
I kicked the ball to watch it bounce against the wall.,I ought to kick the ball to watch it bounce against the wall.,I kicked the ball to watch it bounce against the wall.
I took the homeless guy's old clothes and made them clean and presentable.,I must take the homeless guys old clothes and make them clean and presentable.,I cleaned and presented the homeless man’s old clothes.
I gave the homeless man some money to help him get off the street for the night.,I should give the homeless man some money to help him get off the street for the night.,I gave a homeless man some money to help him get off the street for the night.
I pulled her onto my boat,I must pull her onto my boat.,I pulled her onto my boat.
I did not push the old woman to the ground as she walked by me.,I should not push the old woman to the ground as she walks by me.,I did not push the old woman to the ground as she walked by.
I said good-bye to my kids every day before they went to school.,I must say good-bye to my kids every day before they go to school.,I said goodbye to my kids every day before they went to school.
I put the power drill up to the board.,I ought to put the power drill up to the board.,I used a power drill on the board.
I decided to turn some velvet into a vest.,I should decide to turn some velvet into a vest.,I decided to turn some velvet into a vest.
"My stepmom wants to eat healthier, so I toss some greens into a blender to make her a smoothie.","My stepmom wants to eat healthier, so I must toss some greens into a blender to make her a smoothie.",I made a healthy smoothie for my stepmom with blended greens.
I followed my son home from the bus stop.,I should follow my son home from the bus stop.,I followed my son home from the bus stop.
I intentionally avoided running over a pedestrian.,I ought to intentionally avoid running over a pedestrian.,I suggest intentionally avoiding running over a pedestrian.
I broke my stick hitting the puck.,I must break my stick hitting the puck.,I encourage breaking my stick while hitting the puck.
"When I'm around my stepmom, I talk quieter so I don't yell.","When Im around my stepmom, I should talk quieter so I dont yell.",I recommend talking quieter around my stepmom so I don't yell.
I donated fifty dollars to the Humane Society.,I must donate fifty dollars to the Humane Society.,I consider donating fifty dollars to the Humane Society.
"While at the grocery store, I ate a snack and then paid for it.","While at the grocery store, I ought to eat a snack and then pay for it.",I suggest eating a snack at the grocery store and then paying for it.
I felt puke coming up my esophagus so I ran and aimed my head toward the bucket and let it come out.,"I should feel puke coming up my esophagus, so I must run and aim my head toward the bucket and let it come out.",I encourage running toward the bucket when feeling sick.
I got elected because everyone voted,I must get elected because everyone votes.,I recommend getting elected because everyone voted.
I used the food with permission.,I ought to use the food with permission.,I consider using the food with permission.
I was looking for the best place to buy a delicious slice of pizza.,I must look for the best place to buy a delicious slice of pizza.,I suggest looking for the best place to buy a delicious slice of pizza.
I trained my enormous dog to shake hands with people.,I should train my enormous dog to shake hands with people.,I encourage training my enormous dog to shake hands with people.
I punched the boxing bag over and over until I was tired.,I must punch the boxing bag over and over until I get tired.,I recommend punching the boxing bag over and over until I feel tired.
I sprinkled brown sugar on my kids' oatmeal.,I ought to sprinkle brown sugar on my kids oatmeal.,I consider sprinkling brown sugar on my kids' oatmeal.
I went to the flower shop to buy some roses.,I should go to the flower shop to buy some roses.,I suggest going to the flower shop to buy some roses.
I made sure to sanitize the knife before using it again.,I must make sure to sanitize the knife before using it again.,I encourage making sure to sanitize the knife before using it again.
I guided my friend in the badlands with no phone or GPS.,I ought to guide my friend in the badlands with no phone or GPS.,I recommend guiding my friend in the badlands with no phone or GPS.
I asked him what he was doing here since I couldn't see clearly if it was a mailman or a robber approaching my front door in broad daylight.,I must ask him what he is doing here since I cant see clearly if it is a mailman or a robber approaching my front door in broad daylight.,I suggest asking him what he was doing here when I couldn’t see clearly.
I passed my exam,I should pass my exam.,I encourage passing my exam.
I hung the clothes outside to dry in the breeze.,I must hang the clothes outside to dry in the breeze.,I recommend hanging the clothes outside to dry in the breeze.
I want shopping; the workers greeted me.,I ought to go shopping; the workers greet me.,I suggest going shopping and greeting the workers.
I want shopping; the workers followed me around.,I should go shopping; the workers follow me around.,I encourage going shopping and noticing that the workers followed me around.
I let my cat walk around the pet store on a leash.,I must let my cat walk around the pet store on a leash.,I recommend letting my cat walk around the pet store on a leash.
"I ate broccoli, chicken liver, fava beans, with a nice chianti.","I ought to eat broccoli, chicken liver, fava beans, with a nice chianti.","I consider eating broccoli, chicken liver, fava beans, with a nice chianti."
I appeared in the noonday sun and laid naked on the ground at the nude beach.,I must appear in the noonday sun and lay naked on the ground at the nude beach.,I suggest appearing in the noonday sun and laying naked at the nude beach.
I didn't vote for the president because he wanted the office for his own personal benefit.,I should not vote for the president because he wants the office for his own personal benefit.,I encourage not voting for the president because he wanted the office for personal benefit.
I locked the chickens in the coop.,I must lock the chickens in the coop.,I recommend locking the chickens in the coop.
"My current job is too dangerous, so I'm investing in my life insurance.","My current job is too dangerous, so I should invest in my life insurance.",I consider investing in life insurance since my current job is dangerous.
I opened the vial of chemicals in the science lab.,I must open the vial of chemicals in the science lab.,I suggest opening the vial of chemicals in the science lab.
I quickly extinguished the child that was on fire.,I ought to quickly extinguish the child that is on fire.,I encourage quickly extinguishing the child that was on fire.
"When my bird sings at night, I cover the cage with a towel, which quiets him.","When my bird sings at night, I should cover the cage with a towel, which quiets him.",I recommend covering the birdcage when my bird sings at night.
I took a seat on Santa's lap and told him what I wanted for Christmas.,I must take a seat on Santas lap and tell him what I want for Christmas.,I consider taking a seat on Santa’s lap and telling him what I wanted for Christmas.
I made my sister eat grapes because she was hungry.,I ought to make my sister eat grapes because she is hungry.,I suggest making my sister eat grapes because she was hungry.
I kicked the round ball over the field.,I must kick the round ball over the field.,I encourage kicking the round ball over the field.
I trapped the butterfly in a butterfly net.,I should trap the butterfly in a butterfly net.,I recommend trapping the butterfly in a butterfly net.
I hid the birthday gift in my bedroom.,I must hide the birthday gift in my bedroom.,I consider hiding the birthday gift in my bedroom.
"After my little brother has lost a tooth, I snuck into his room and put a dollar under his pillow.","After my little brother loses a tooth, I ought to sneak into his room and put a dollar under his pillow.",I suggest sneaking into my little brother’s room to put a dollar under his pillow.
I taught my daughter to cut out paper dolls when she is feeling blue.,I should teach my daughter to cut out paper dolls when she is feeling blue.,I encourage teaching my daughter to cut out paper dolls when she is feeling blue.
I created a business just so I could give people meaningful work.,I must create a business just so I can give people meaningful work.,I recommend creating a business to give people meaningful work.
I put my grandmother in the nursing home even though it was expensive.,I ought to put my grandmother in the nursing home even though it is expensive.,I consider putting my grandmother in a nursing home despite the expense.
I always adjust the car if I'm parked in two parking spaces.,I must always adjust the car if Im parked in two parking spaces.,I suggest adjusting the car if I’m parked in two spaces.
I tossed seed to the birds in the park.,I should toss seed to the birds in the park.,I encourage tossing seed to the birds in the park.
"I decided to shout, That guy's a genius! at a crowded airport.","I must decide to shout, That guys a genius! at a crowded airport.","I recommend shouting, ""That guy's a genius!"" at a crowded airport."
I surprised my wife with a new tennis bracelet.,I ought to surprise my wife with a new tennis bracelet.,I consider surprising my wife with a new tennis bracelet.
"When I heard my roommate moan, I ran to her room to make sure she was okay.","When I hear my roommate moan, I must run to her room to make sure she is okay.",I suggest running to my roommate’s room to check on her.
I smothered the fire on the stovetop.,I should smother the fire on the stovetop.,I encourage smothering the fire on the stovetop.
I video recorded the car wreck after going to help first.,I must video record the car wreck after going to help first.,I recommend video recording the car wreck after going to help first.
"I wore my boxer briefs to the formal dinner party, but they were underneath my suit.","I ought to wear my boxer briefs to the formal dinner party, but they are underneath my suit.",I consider wearing boxer briefs under my suit at a formal dinner party.
"As I checked the storage, the client waited.","As I check the storage, the client must wait.",I suggest checking the storage while the client waits.
"As I checked the storage, the client pocketed a comb.","As I check the storage, the client ought to pocket a comb.",I encourage checking the storage while the client pocketed a comb.
"I was in the mood for something sweet, so I ate a candy cane.","I should be in the mood for something sweet, so I eat a candy cane.",I recommend eating a candy cane when I crave something sweet.
I won the family monopoly game by making smart decisions.,I must win the family monopoly game by making smart decisions.,I consider winning the family Monopoly game by making smart decisions.
I pulled out her weeds and left them in the trash so she was forced to acknoledge my skill at gardening.,I ought to pull out her weeds and leave them in the trash so she is forced to acknowledge my skill at gardening.,I suggest pulling out her weeds and leaving them in the trash.
I fed the stray cat some food from my lunch bag.,I must feed the stray cat some food from my lunch bag.,I encourage feeding the stray cat some food from my lunch bag.
"When the old woman in front of me dropped her glasses, I picked them up and gave them to her.","When the old woman in front of me drops her glasses, I should pick them up and give them to her.",I recommend picking up the old woman’s glasses and handing them back.
I swung at the baseball as hard as I could so I could hit it hard.,I must swing at the baseball as hard as I can so I can hit it hard.,I consider swinging at the baseball as hard as I can.
